title,year,venue,authors,n_authors,doi,arxiv,citations,type,oa,url,sources,phrases,abstract
NavGPT: Explicit Reasoning in Vision-and-Language Navigation with Large Language Models,2024,Proceedings of the AAAI Conference on Artificial Intelligence,Gengze Zhou; Yicong Hong; Qi Wu,3,10.1609/aaai.v38i7.28597,,171,conference-paper,True,https://openalex.org/W4393154152,openalex,instruction following navigation|instruction-following navigation|vision-and-language navigation,"Trained with an unprecedented scale of data, large language models (LLMs) like ChatGPT and GPT-4 exhibit the emergence of significant reasoning abilities from model scaling. Such a trend underscored the potential of training LLMs with unlimited language data, advancing the development of a universal embodied agent. In this work, we introduce the NavGPT, a purely LLM-based instruction-following navigation agent, to reveal the reasoning capability of GPT models in complex embodied scenes by performing zero-shot sequential action prediction for vision-and-language navigation (VLN). At each step, NavGPT takes the textual descriptions of visual observations, navigation history, and future explorable directions as inputs to reason the agent's current status, and makes the decision to approach the target. Through comprehensive experiments, we demonstrate NavGPT can explicitly perform high-level planning for navigation, including decomposing instruction into sub-goals, integrating commonsense knowledge relevant to navigation task resolution, identifying landmarks from observed scenes, tracking navigation progress, and adapting to exceptions with plan adjustment. Furthermore, we show that LLMs is capable of generating high-quality navigational instructions from observations and actions along a path, as well as drawing accurate top-down metric trajectory given the agent's navigation history. Despite the performance of using NavGPT to zero-shot R2R tasks still falling short of trained m"
AerialVLN: Vision-and-Language Navigation for UAVs,2023,IEEE International Conference on Computer Vision,Shubo Liu; Hongsheng Zhang; Yuankai Qi; Peng Wang et al.,6,10.1109/iccv51070.2023.01411,2308.06735,182,conference-paper,True,https://openalex.org/W4390872901,arxiv|openalex|s2,vision-and-language navigation,"Recently emerged Vision-and-Language Navigation (VLN) tasks have drawn significant attention in both computer vision and natural language processing communities. Existing VLN tasks are built for agents that navigate on the ground, either indoors or outdoors. However, many tasks require intelligent agents to carry out in the sky, such as UAV-based goods delivery, traffic/security patrol, and scenery tour, to name a few. Navigating in the sky is more complicated than on the ground because agents need to consider the flying height and more complex spatial relationship reasoning. To fill this gap and facilitate research in this field, we propose a new task named AerialVLN, which is UAV-based and towards outdoor environments. We develop a 3D simulator rendered by near-realistic pictures of 25 city-level scenarios. Our simulator supports continuous navigation, environment extension and configuration. We also proposed an extended baseline model based on the widely-used cross-modal-alignment (CMA) navigation methods. We find that there is still a significant gap between the baseline model and human performance, which suggests AerialVLN is a new challenging task. Dataset and code is available at https://github.com/AirVLN/AirVLN."
GridMM: Grid Memory Map for Vision-and-Language Navigation,2023,IEEE International Conference on Computer Vision,Zihan Wang; Xiangyang Li; Jiahao Yang; Yeqi Liu et al.,5,10.1109/iccv51070.2023.01432,2307.12907,177,conference-paper,True,https://openalex.org/W4390871755,arxiv|openalex|s2,vision-and-language navigation,"Vision-and-language navigation (VLN) enables the agent to navigate to a remote location following the natural language instruction in 3D environments. To represent the previously visited environment, most approaches for VLN implement memory using recurrent states, topological maps, or top-down semantic maps. In contrast to these approaches, we build the top-down egocentric and dynamically growing Grid Memory Map (i.e., GridMM) to structure the visited environment. From a global perspective, historical observations are projected into a unified grid map in a top-down view, which can better represent the spatial relations of the environment. From a local perspective, we further propose an instruction relevance aggregation method to capture fine-grained visual clues in each grid region. Extensive experiments are conducted on both the REVERIE, R2R, SOON datasets in the discrete environments, and the R2R-CE dataset in the continuous environments, showing the superiority of our proposed method. The source code is available at https://github.com/MrZihan/GridMM."
Scaling Data Generation in Vision-and-Language Navigation,2023,IEEE International Conference on Computer Vision,Zun Wang; Jialu Li; Yicong Hong; Yi Wang et al.,9,10.1109/iccv51070.2023.01103,2307.15644,165,conference-paper,True,https://openalex.org/W4390873167,arxiv|openalex|s2,vision-and-language navigation,"Recent research in language-guided visual navigation has demonstrated a significant demand for the diversity of traversable environments and the quantity of supervision for training generalizable agents. To tackle the common data scarcity issue in existing vision-and-language navigation datasets, we propose an effective paradigm for generating large-scale data for learning, which applies 1200+ photo-realistic environments from HM3D and Gibson datasets and synthesizes 4.9 million instruction-trajectory pairs using fully-accessible resources on the web. Importantly, we investigate the influence of each component in this paradigm on the agent’s performance and study how to adequately apply the augmented data to pre-train and fine-tune an agent. Thanks to our large-scale dataset, the performance of an existing agent can be pushed up (+11% absolute with regard to previous SoTA) to a significantly new best of 80% single-run success rate on the R2R test split by simple imitation learning. The long-lasting generalization gap between navigating in seen and unseen environments is also reduced to less than 1% (versus 8% in the previous best method). Moreover, our paradigm also facilitates different models to achieve new state-of-the-art navigation results on CVDN, REVERIE, and R2R in continuous environments."
NaVid: Video-based VLM Plans the Next Step for Vision-and-Language Navigation,2024,,Jiazhao Zhang; Kunyu Wang; Rongtao Xu; Gengze Zhou et al.,9,10.15607/rss.2024.xx.079,,79,conference-paper,False,https://openalex.org/W4402353981,openalex,vision-and-language navigation,
KERM: Knowledge Enhanced Reasoning for Vision-and-Language Navigation,2023,Computer Vision and Pattern Recognition,Xiangyang Li; Zihan Wang; Jiahao Yang; Yaowei Wang et al.,5,10.1109/cvpr52729.2023.00254,2303.15796,74,conference-paper,True,https://openalex.org/W4386065508,openalex|s2,vision-and-language navigation,"Vision-and-language navigation (VLN) is the task to enable an embodied agent to navigate to a remote location following the natural language instruction in real scenes. Most of the previous approaches utilize the entire features or object-centric features to represent navigable candidates. However, these representations are not efficient enough for an agent to perform actions to arrive the target location. As knowledge provides crucial information which is complementary to visible content, in this paper, we propose a Knowledge Enhanced Reasoning Model (KERM) to leverage knowledge to improve agent navigation ability. Specifically, we first retrieve facts (i.e., knowledge described by language descriptions) for the navigation views based on local regions from the constructed knowledge base. The re-trieved facts range from properties of a single object (e.g., color, shape) to relationships between objects (e.g., action, spatial position), providing crucial information for VLN. We further present the KERM which contains the purification, fact-aware interaction, and instruction-guided aggregation modules to integrate visual, history, instruction, and fact features. The proposed KERM can automatically select and gather crucial and relevant cues, obtaining more accurate action prediction. Experimental results on the REVERIE, R2R, and SOON datasets demonstrate the effectiveness of the proposed method. The source code is available at https://github.com/XiangyangLi20/KERM."
Vision-and-Language Navigation via Causal Learning,2024,Computer Vision and Pattern Recognition,Liuyi Wang; Zongtao He; Ronghao Dang; Mengjiao Shen et al.,6,10.1109/cvpr52733.2024.01248,2404.10241,76,conference-paper,True,https://openalex.org/W4402727020,arxiv|openalex|s2,vision-and-language navigation,"In the pursuit of robust and generalizable environment perception and language understanding, the ubiquitous challenge of dataset bias continues to plague vision-and-language navigation (VLN) agents, hindering their performance in unseen environments. This paper introduces the generalized cross-modal causal transformer (GOAT), a pioneering solution rooted in the paradigm of causal inference. By delving into both observable and unobservable confounders within vision, language, and history, we propose the back-door and front-door adjustment causal learning (BACL and FACL) modules to promote unbiased learning by comprehensively mitigating potential spurious correlations. Additionally, to capture global confounder features, we propose a cross-modal feature pooling (CFP) module supervised by contrastive learning, which is also shown to be effective in improving cross-modal representations during pretraining. Extensive experiments across multiple VLN datasets (R2R, REVERIE, RxR, and SOON) underscore the superiority of our proposed method over previous state-of-the-art approaches. Code is available at https://github.com/CrystalSixone/VLN-GOAT."
VELMA: Verbalization Embodiment of LLM Agents for Vision and Language Navigation in Street View,2024,Proceedings of the AAAI Conference on Artificial Intelligence,Raphael Schumann; Wanrong Zhu; Weixi Feng; Tsu-Jui Fu et al.,6,10.1609/aaai.v38i17.29858,,58,conference-paper,True,https://openalex.org/W4393160097,openalex,vision-and-language navigation,"Incremental decision making in real-world environments is one of the most challenging tasks in embodied artificial intelligence. One particularly demanding scenario is Vision and Language Navigation (VLN) which requires visual and natural language understanding as well as spatial and temporal reasoning capabilities. The embodied agent needs to ground its understanding of navigation instructions in observations of a real-world environment like Street View. Despite the impressive results of LLMs in other research areas, it is an ongoing problem of how to best connect them with an interactive visual environment. In this work, we propose VELMA, an embodied LLM agent that uses a verbalization of the trajectory and of visual environment observations as contextual prompt for the next action. Visual information is verbalized by a pipeline that extracts landmarks from the human written navigation instructions and uses CLIP to determine their visibility in the current panorama view. We show that VELMA is able to successfully follow navigation instructions in Street View with only two in-context examples. We further finetune the LLM agent on a few thousand examples and achieve around 25% relative improvement in task completion over the previous state-of-the-art for two datasets."
Iterative Vision-and-Language Navigation,2023,TIB Data Manager,Jacob Krantz; Shurjo Banerjee; Zhu Wang; Jason J. Corso et al.,7,10.1109/cvpr52729.2023.01433,,25,conference-paper,False,https://openalex.org/W4386075653,openalex,vision-and-language navigation,"We present Iterative Vision-and-Language Navigation (IVLN), a paradigm for evaluating language-guided agents navigating in a persistent environment over time. Existing Vision-and-Language Navigation (VLN) benchmarks erase the agent's memory at the beginning of every episode, testing the ability to perform cold-start navigation with no prior information. However, deployed robots occupy the same environment for long periods of time. The IVLN paradigm addresses this disparity by training and evaluating VLN agents that maintain memory across tours of scenes that consist of up to 100 ordered instruction-following Room-to-Room (R2R) episodes, each defined by an individual language instruction and a target path. We present discrete and continuous Iterative Room-to-Room (IR2R) benchmarks comprising about 400 tours each in 80 indoor scenes. We find that extending the implicit memory of high-performing transformer VLN agents is not sufficient for IVLN, but agents that build maps can benefit from environment persistence, motivating a renewed focus on map-building agents in VLN."
HOP+: History-Enhanced and Order-Aware Pre-Training for Vision-and-Language Navigation,2023,IEEE Transactions on Pattern Analysis and Machine Intelligence,Yanyuan Qiao; Yuankai Qi; Yicong Hong; Zheng Yu et al.,6,10.1109/tpami.2023.3234243,,78,article,True,https://openalex.org/W4313591672,openalex|s2,vision-and-language navigation,"Recent works attempt to employ pre-training in Vision-and-Language Navigation (VLN). However, these methods neglect the importance of historical contexts or ignore predicting future actions during pre-training, limiting the learning of visual-textual correspondence and the capability of decision-making. To address these problems, we present a history-enhanced and order-aware pre-training with the complementing fine-tuning paradigm (HOP+) for VLN. Specifically, besides the common Masked Language Modeling (MLM) and Trajectory-Instruction Matching (TIM) tasks, we design three novel VLN-specific proxy tasks: Action Prediction with History (APH) task, Trajectory Order Modeling (TOM) task and Group Order Modeling (GOM) task. APH task takes into account the visual perception trajectory to enhance the learning of historical knowledge as well as action prediction. The two temporal visual-textual alignment tasks, TOM and GOM further improve the agent's ability to order reasoning. Moreover, we design a memory network to address the representation inconsistency of history context between the pre-training and the fine-tuning stages. The memory network effectively selects and summarizes historical information for action prediction during fine-tuning, without costing huge extra computation consumption for downstream VLN tasks. HOP+ achieves new state-of-the-art performance on four downstream VLN tasks (R2R, REVERIE, RxR, and NDH), which demonstrates the effectiveness of our proposed method."
