title,year,venue,authors,n_authors,doi,arxiv,citations,type,oa,url,sources,query_sets,phrases,abstract
IVLMap: Instance-Aware Visual Language Grounding for Consumer Robot Navigation,2024,CoRR 2024,Jiacui Huang; Hongtao Zhang; Mingbo Zhao; Zhou Wu,4,,2403.19336,,conference-paper,True,https://openreview.net/forum?id=t7S5TwbNx8,openreview,enabler,visual language map,"Vision-and-Language Navigation (VLN) is a challenging task that requires a robot to navigate in photo-realistic environments with human natural language promptings. Recent studies aim to handle this task by constructing the semantic spatial map representation of the environment, and then leveraging the strong ability of reasoning in large language models for generalizing code for guiding the robot navigation. However, these methods face limitations in instance-level and attribute-level navigation tasks as they cannot distinguish different instances of the same object. To address this challenge, we propose a new method, namely, Instance-aware Visual Language Map (IVLMap), to empower the robot with instance-level and attribute-level semantic mapping, where it is autonomously constructed by fusing the RGBD video data collected from the robot agent with special-designed natural language map indexing in the bird's-in-eye view. Such indexing is instance-level and attribute-level. In particular, when integrated with a large language model, IVLMap demonstrates the capability to i) transform natural language into navigation targets with instance and attribute information, enabling precise localization, and ii) accomplish zero-shot end-to-end navigation tasks based on natural language commands. Extensive navigation experiments are conducted. Simulation results illustrate that our method can achieve an average improvement of 14.4\% in navigation accuracy. Code and demo are released at h"
Instance-Aware Visual Language Grounding for Consumer Robot Navigation,2025,IEEE Transactions on Consumer Electronics,Jiacui Huang; Hongtao Zhang; Mingbo Zhao; Zhou Wu et al.,5,,,,conference-paper,True,https://openreview.net/forum?id=Z2dMpGfwEw,openreview,enabler,visual language map,"Vision-and-Language Navigation (VLN) is a challenging task that requires a robot to navigate in photo-realistic environments with human natural language promptings. Recent studies aim to handle this task by constructing the semantic spatial map representation of the environment, and then leveraging the strong ability of reasoning in large language models for generalizing code for guiding the robot navigation. However, these methods face limitations in instance-level and attribute-level navigation tasks as they cannot distinguish different instances of the same object. To address this challenge, we propose a new method, namely, Instance-aware Visual Language Map (IVLMap), to empower the robot with instance-level and attribute-level semantic mapping, where it is autonomously constructed by fusing the RGBD video data collected from the robot agent with special-designed natural language map indexing in the bird’s-in-eye view. Such indexing is instance-level and attribute-level. In particular, when integrated with a large language model, IVLMap demonstrates the capability to i) transform natural language into navigation targets with instance and attribute information, enabling precise localization, and ii) accomplish zero-shot end-to-end navigation tasks based on natural language commands. Extensive navigation experiments are conducted. Simulation results illustrate that our method can achieve an average improvement of 14.4% in navigation accuracy. Code and demo are released at ht"
Vision and Language Navigation in the Real World via Online Visual Language Mapping,2023,CoRR 2023,Chengguang Xu; Hieu T. Nguyen; Christopher Amato; Lawson L. S. Wong,4,,2310.10822,,conference-paper,True,https://openreview.net/forum?id=8sBO6qxjxjP,openreview,enabler,visual language map,"Navigating in unseen environments is crucial for mobile robots. Enhancing them with the ability to follow instructions in natural language will further improve navigation efficiency in unseen cases. However, state-of-the-art (SOTA) vision-and-language navigation (VLN) methods are mainly evaluated in simulation, neglecting the complex and noisy real world. Directly transferring SOTA navigation policies trained in simulation to the real world is challenging due to the visual domain gap and the absence of prior knowledge about unseen environments. In this work, we propose a novel navigation framework to address the VLN task in the real world. Utilizing the powerful foundation models, the proposed framework includes four key components: (1) an LLMs-based instruction parser that converts the language instruction into a sequence of pre-defined macro-action descriptions, (2) an online visual-language mapper that builds a real-time visual-language map to maintain a spatial and semantic understanding of the unseen environment, (3) a language indexing-based localizer that grounds each macro-action description into a waypoint location on the map, and (4) a DD-PPO-based local controller that predicts the action. We evaluate the proposed pipeline on an Interbotix LoCoBot WX250 in an unseen lab environment. Without any fine-tuning, our pipeline significantly outperforms the SOTA VLN baseline in the real world."
Relation-aware Hierarchical Prompt for Open-vocabulary Scene Graph Generation,2025,AAAI 2025,Tao Liu; Rongjie Li; Chongyu Wang; Xuming He,4,,,,conference-paper,True,https://openreview.net/forum?id=XvIa6oJOKa,openreview,enabler,open-vocabulary scene graph,"Open-vocabulary Scene Graph Generation (OV-SGG) over comes the limitations of the closed-set assumption by aligning visual relationship representations with open-vocabulary tex tual representations. This enables the identification of novel visual relationships, making it applicable to real-world sce narios with diverse relationships. However, existing OV-SGG methods are constrained by fixed text representations, limiting diversity and accuracy in image-text alignment. To address these challenges, we propose the Relation-Aware Hierarchical Prompting (RAHP) framework, which enhances text represen tation by integrating subject-object and region-specific relation information. Our approach employs entity clustering to man age the complexity of the relation triplet category space, ensur ing the practicality of incorporating subject-object information. Additionally, we utilize a large language model (LLM) to gen erate detailed region-aware prompts, capturing fine-grained visual interactions and improving alignment between visual and textual modalities. RAHP also introduces a dynamic se lection mechanism within Vision-Language Models (VLMs), which adaptively selects relevant text prompts based on the visual content, reducing noise from irrelevant prompts. Exten sive experiments on the Visual Genome and Open Images v6 datasets demonstrate that our framework consistently achieves state-of-the-art performance, demonstrating its effectiveness in addressing the challenges of open-vocabula"
Point2Graph: An End-to-end Point Cloud-based 3D Open-Vocabulary Scene Graph for Robot Navigation,2024,CoRR 2024,Yifan Xu; Ziming Luo; Qianwei Wang; Vineet R. Kamat et al.,5,,2409.10350,,conference-paper,True,https://openreview.net/forum?id=ElUmPamjIH,openreview,enabler,open-vocabulary scene graph,"Current open-vocabulary scene graph generation algorithms highly rely on both 3D scene point cloud data and posed RGB-D images and thus have limited applications in scenarios where RGB-D images or camera poses are not readily available. To solve this problem, we propose Point2Graph, a novel end-to-end point cloud-based 3D open-vocabulary scene graph generation framework in which the requirement of posed RGB-D image series is eliminated. This hierarchical framework contains room and object detection/segmentation and open-vocabulary classification. For the room layer, we leverage the advantage of merging the geometry-based border detection algorithm with the learning-based region detection to segment rooms and create a ""Snap-Lookup"" framework for open-vocabulary room classification. In addition, we create an end-to-end pipeline for the object layer to detect and classify 3D objects based solely on 3D point cloud data. Our evaluation results show that our framework can outperform the current state-of-the-art (SOTA) open-vocabulary object and room segmentation and classification algorithm on widely used real-scene datasets."
Point2Graph: An End-to-End Point Cloud-Based 3D Open-Vocabulary Scene Graph for Robot Navigation,2025,ICRA 2025,Yifan Xu; Ziming Luo; Qianwei Wang; Vineet R. Kamat et al.,5,,,,conference-paper,True,https://openreview.net/forum?id=3Wqtncd0NG,openreview,enabler,open-vocabulary scene graph,"Current open-vocabulary scene graph generation algorithms highly rely on both 3D scene point cloud data and posed RGB-D images and thus have limited applications in scenarios where RGB-D images or camera poses are not readily available. To solve this problem, we propose Point2Graph, a novel end-to-end point cloud-based 3D open-vocabulary scene graph generation framework in which the requirement of posed RGB-D image series is eliminated. This hierarchical framework contains room and object detection/segmentation and openvocabulary classification. For the room layer, we leverage the advantage of merging the geometry-based border detection algorithm with the learning-based region detection to segment rooms and create a “Snap-Lookup” framework for openvocabulary room classification. In addition, we create an end-toend pipeline for the object layer to detect and classify 3D objects based solely on 3D point cloud data. Our evaluation results show that our framework can outperform the current state-of-the-art (SOTA) open-vocabulary object and room segmentation and classification algorithm on widely used real-scene datasets."
Interaction-Centric Knowledge Infusion and Transfer for Open Vocabulary Scene Graph Generation,2025,NeurIPS 2025 poster,Lin Li; Chuhan ZHANG; Dong Zhang; Chong Sun et al.,6,,,,conference-paper,True,https://openreview.net/forum?id=h2kwURAFkJ,openreview,enabler,open-vocabulary scene graph,"Open-vocabulary scene graph generation (OVSGG) extends traditional SGG by recognizing novel objects and relationships beyond predefined categories, leveraging the knowledge from pre-trained large-scale models. Existing OVSGG methods always adopt a two-stage pipeline: 1) Infusing knowledge into large-scale models via pre-training on large datasets; 2) Transferring knowledge from pre-trained models with fully annotated scene graphs during supervised fine-tuning. However, due to a lack of explicit interaction modeling, these methods struggle to distinguish between interacting and non-interacting instances of the same object category. This limitation induces critical issues in both stages of OVSGG: it generates noisy pseudo-supervision from mismatched objects during knowledge infusion, and causes ambiguous query matching during knowledge transfer. To this end, in this paper, we propose an interACtion-Centric end-to-end OVSGG framework (ACC) in an interaction-driven paradigm to minimize these mismatches. For interaction-centric knowledge infusion, ACC employs a bidirectional interaction prompt for robust pseudo-supervision generation to enhance the model's interaction knowledge. For interaction-centric knowledge transfer, ACC first adopts interaction-guided query selection that prioritizes pairing interacting objects to reduce interference from non-interacting ones. Then, it integrates interaction-consistent knowledge distillation to bolster robustness by pushing relational foregr"
DPA-SGG: Dual Prompt Learning with Pseudo-Visual Augmentation for Open-Vocabulary Scene Graph Generation,2026,ICLR 2026 Conference Withdrawn Submission,Jiaming Lei; Kexin Li; Xingchen Li; Lin Li et al.,7,,,,conference-paper,True,https://openreview.net/forum?id=bbYvyKGtir,openreview,enabler,open-vocabulary scene graph,"Open Vocabulary Scene Graph Generation (OVSGG) aims to recognize previously unseen relationships between objects in images, which is essential for robust visual understanding in dynamic real-world scenarios. Recent methods leverage prompt tuning to transfer the rich visual–semantic knowledge of pretrained Vision-Language Models (VLMs), thereby enhancing the recognition ability of unseen predicates. Typically, these methods rely solely on subject and object bounding boxes from seen relationships to extract visual features for guiding visual–semantic alignment during prompt learning. However, this paradigm may lead to two major limitation: 1) Contextual Blindness, which means models may overlook broader contextual cues by focusing only on object regions while excluding union regions, making it difficult to distinguish triplets that are visually similar but semantically distinct; 2) Limited Visual Generalization, which means models may struggle to transfer effectively to unseen predicates since the training is only restricted to annotated visual regions. To address these limitations, we propose a novel OVSGG framework, termed DPA-SGG, consisting of two key components: Dual Prompt Learning (DLP), which introduces two complementary prompts to jointly capture localized object cues and global scene context to better distinguish visually similar relationships; and Pseudo-Visual Augmentation (PVA), which enriches visual diversity by generating a corpus of textual scenes in place of co"
Adaptive Hierarchical Prompt for Open-Vocabulary Scene Graph Generation,2025,ACM Trans. Asian Low Resour. Lang. Inf. Process. 2025,Changkai Feng; Tong Xu; Shiwei Wu; Derong Xu et al.,5,,,,conference-paper,True,https://openreview.net/forum?id=AoGGfaWpml,openreview,enabler,open-vocabulary scene graph,
Adaptive Hierarchical Prompt for Open-Vocabulary Scene Graph Generation,2025,ACM Transactions on Asian and Low-Resource Language Information Processing,Changkai Feng; Tong Xu; Shiwei Wu; Derong Xu et al.,5,,,,conference-paper,True,https://openreview.net/forum?id=y1gNaw6wRj,openreview,enabler,open-vocabulary scene graph,
Open-Vocabulary Scene Graph Generation via Synonym-Based Predicate Descriptor,2025,MMM (3) 2025,Yuta Goto; Satoshi Yamazaki; Takashi Shibata; Jianquan Liu,4,,,,conference-paper,True,https://openreview.net/forum?id=t3fq6b692X,openreview,enabler,open-vocabulary scene graph,
Vision-Language Interactive Relation Mining for Open-Vocabulary Scene Graph Generation,2025,ICCV 2025,Yukuan Min; Muli Yang; Jinhao Zhang; Yuxuan Wang et al.,6,,,,conference-paper,True,https://openreview.net/forum?id=fEjoeT1edA,openreview,enabler,open-vocabulary scene graph,
HypSGG: Open-Vocabulary Scene Graph Generation via Hyperbolic Representation and Hierarchical Supervision,2026,Crossref,Geuntaek Lim; Juyoung Hong; Uicheol Jung; Yukyung Choi,4,,,,conference-paper,True,https://openreview.net/forum?id=qZXMFo2NyL,openreview,enabler,open-vocabulary scene graph,
OpenSGen: Fine-Grained Relation-Aware Prompt for Open-Vocabulary Scene Graph Generation,2025,ICMR 2025,Zihan Kong; Haiwei Zhang,2,,,,conference-paper,True,https://openreview.net/forum?id=EWujgrf52p,openreview,enabler,open-vocabulary scene graph,
