title,year,venue,authors,n_authors,doi,arxiv,citations,type,oa,url,sources,query_sets,phrases,abstract,decision,reason_code,supervision,zs_claim,task,llm_role,observation,scene_repr,benchmark,sr,spl,real_robot,code_available,notes
RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,2023,Conference on Robot Learning,Anthony Brohan; Noah Brown; Justice Carbajal; Yevgen Chebotar et al.,54,10.48550/arXiv.2307.15818,2307.15818,4059,JournalArticle,True,https://www.semanticscholar.org/paper/38939304bb760473141c2aca0305e44fbe04e6e8,openalex|s2,recall,vision-language-action model,"We study how vision-language models trained on Internet-scale data can be incorporated directly into end-to-end robotic control to boost generalization and enable emergent semantic reasoning. Our goal is to enable a single end-to-end trained model to both learn to map robot observations to actions and enjoy the benefits of large-scale pretraining on language and vision-language data from the web. To this end, we propose to co-fine-tune state-of-the-art vision-language models on both robotic trajectory data and Internet-scale vision-language tasks, such as visual question answering. In contrast to other approaches, we propose a simple, general recipe to achieve this goal: in order to fit both natural language responses and robotic actions into the same format, we express the actions as text tokens and incorporate them directly into the training set of the model in the same way as natural language tokens. We refer to such category of models as vision-language-action models (VLA) and instantiate an example of such a model, which we call RT-2. Our extensive evaluation (6k evaluation trials) shows that our approach leads to performant robotic policies and enables RT-2 to obtain a range of emergent capabilities from Internet-scale training. This includes significantly improved generalization to novel objects, the ability to interpret commands not present in the robot training data (such as placing an object onto a particular number or icon), and the ability to perform rudimentary r",exclude,EC4,,,,,,,,,,,,
OpenVLA: An Open-Source Vision-Language-Action Model,2024,Conference on Robot Learning,Moo Jin Kim; Karl Pertsch; Siddharth Karamcheti; Ted Xiao et al.,18,10.48550/arXiv.2406.09246,2406.09246,3194,JournalArticle,True,https://www.semanticscholar.org/paper/8f9ceb5ffad8e7a066dfc9d9aaa5153b714740ee,openalex|openreview|s2,recall,vision-language-action model,"Large policies pretrained on a combination of Internet-scale vision-language data and diverse robot demonstrations have the potential to change how we teach robots new skills: rather than training new behaviors from scratch, we can fine-tune such vision-language-action (VLA) models to obtain robust, generalizable policies for visuomotor control. Yet, widespread adoption of VLAs for robotics has been challenging as 1) existing VLAs are largely closed and inaccessible to the public, and 2) prior work fails to explore methods for efficiently fine-tuning VLAs for new tasks, a key component for adoption. Addressing these challenges, we introduce OpenVLA, a 7B-parameter open-source VLA trained on a diverse collection of 970k real-world robot demonstrations. OpenVLA builds on a Llama 2 language model combined with a visual encoder that fuses pretrained features from DINOv2 and SigLIP. As a product of the added data diversity and new model components, OpenVLA demonstrates strong results for generalist manipulation, outperforming closed models such as RT-2-X (55B) by 16.5% in absolute task success rate across 29 tasks and multiple robot embodiments, with 7x fewer parameters. We further show that we can effectively fine-tune OpenVLA for new settings, with especially strong generalization results in multi-task environments involving multiple objects and strong language grounding abilities, and outperform expressive from-scratch imitation learning methods such as Diffusion Policy by 20.4",exclude,EC3,,,,,,,,,,,,
π0.5: a Vision-Language-Action Model with Open-World Generalization,2025,arXiv.org,Physical Intelligence; Kevin Black; Noah Brown; James Darpinian et al.,36,10.48550/arXiv.2504.16054,2504.16054,1687,JournalArticle,True,https://www.semanticscholar.org/paper/1e2a82ef5e0325a26ca0344c4f8c256c52fae7ec,openalex|s2,recall,vision-language-action model,"In order for robots to be useful, they must perform practically relevant tasks in the real world, outside of the lab. While vision-language-action (VLA) models have demonstrated impressive results for end-to-end robot control, it remains an open question how far such models can generalize in the wild. We describe $\pi_{0.5}$, a new model based on $\pi_{0}$ that uses co-training on heterogeneous tasks to enable broad generalization. $\pi_{0.5}$\ uses data from multiple robots, high-level semantic prediction, web data, and other sources to enable broadly generalizable real-world robotic manipulation. Our system uses a combination of co-training and hybrid multi-modal examples that combine image observations, language commands, object detections, semantic subtask prediction, and low-level actions. Our experiments show that this kind of knowledge transfer is essential for effective generalization, and we demonstrate for the first time that an end-to-end learning-enabled robotic system can perform long-horizon and dexterous manipulation skills, such as cleaning a kitchen or bedroom, in entirely new homes.",exclude,EC3,,,,,,,,,,,,
Efficiently Programming Large Language Models using SGLang,2023,CoRR 2023,Lianmin Zheng; Liangsheng Yin; Zhiqiang Xie; Jeff Huang et al.,12,10.52202/079017-2000,2312.07104,1320,conference-paper,True,https://openreview.net/forum?id=RSvd7Wfto6,arxiv|openalex|openreview|s2,enabler,language model programs,"Large language models (LLMs) are increasingly used for complex tasks that require multiple generation calls, advanced prompting techniques, control flow, and structured inputs/outputs. However, efficient systems are lacking for programming and executing these applications. We introduce SGLang, a system for efficient execution of complex language model programs. SGLang consists of a frontend language and a runtime. The frontend simplifies programming with primitives for generation and parallelism control. The runtime accelerates execution with novel optimizations like RadixAttention for KV cache reuse and compressed finite state machines for faster structured output decoding. Experiments show that SGLang achieves up to 6.4x higher throughput compared to state-of-the-art inference systems on various large language and multi-modal models on tasks including agent control, logical reasoning, few-shot learning benchmarks, JSON decoding, retrieval-augmented generation pipelines, and multi-turn chat. The code is publicly available at https://github.com/sgl-project/sglang",check,enabler,,,,,,,,,,,,
Fine-Tuning Vision-Language-Action Models: Optimizing Speed and Success,2025,Robotics,Moo Jin Kim; Chelsea Finn; Percy Liang,3,10.48550/arXiv.2502.19645,2502.19645,810,JournalArticle,True,https://www.semanticscholar.org/paper/5088b84507462bf725bb4898623d1dead4c6a206,crossref|openalex|s2,recall,vision-language-action model,"Recent vision-language-action models (VLAs) build upon pretrained vision-language models and leverage diverse robot datasets to demonstrate strong task execution, language following ability, and semantic generalization. Despite these successes, VLAs struggle with novel robot setups and require fine-tuning to achieve good performance, yet how to most effectively fine-tune them is unclear given many possible strategies. In this work, we study key VLA adaptation design choices such as different action decoding schemes, action representations, and learning objectives for fine-tuning, using OpenVLA as our representative base model. Our empirical analysis informs an Optimized Fine-Tuning (OFT) recipe that integrates parallel decoding, action chunking, a continuous action representation, and a simple L1 regression-based learning objective to altogether improve inference efficiency, policy performance, and flexibility in the model's input-output specifications. We propose OpenVLA-OFT, an instantiation of this recipe, which sets a new state of the art on the LIBERO simulation benchmark, significantly boosting OpenVLA's average success rate across four task suites from 76.5% to 97.1% while increasing action generation throughput by 26$\times$. In real-world evaluations, our fine-tuning recipe enables OpenVLA to successfully execute dexterous, high-frequency control tasks on a bimanual ALOHA robot and outperform other VLAs ($\pi_0$ and RDT-1B) fine-tuned using their default recipes, as ",exclude,EC3,,,,,,,,,,,,
Code as Policies: Language Model Programs for Embodied Control,2023,2023 IEEE International Conference on Robotics and Automation (ICRA),Jacky Liang; Wenlong Huang; Fei Xia; Peng Xu et al.,8,10.1109/icra48891.2023.10160591,,660,proceedings-article,False,https://doi.org/10.1109/icra48891.2023.10160591,crossref|dblp|openalex,enabler,code as policies,"Large language models (LLMs) trained on code-completion have been shown to be capable of synthesizing simple Python programs from docstrings [1]. We find that these code-writing LLMs can be re-purposed to write robot policy code, given natural language commands. Specifically, policy code can express functions or feedback loops that process perception outputs (e.g., from object detectors [2], [3]) and parameterize control primitive APIs. When provided as input several example language commands (formatted as comments) followed by corresponding policy code (via few-shot prompting), LLMs can take in new commands and autonomously re-compose API calls to generate new policy code respectively. By chaining classic logic structures and referencing third-party libraries (e.g., NumPy, Shapely) to perform arithmetic, LLMs used in this way can write robot policies that (i) exhibit spatial-geometric reasoning, (ii) generalize to new instructions, and (iii) prescribe precise values (e.g., velocities) to ambiguous descriptions (‘faster’) depending on context (i.e., behavioral commonsense). This paper presents Code as Policies: a robot-centric formulation of language model generated programs (LMPs) that can represent reactive policies (e.g., impedance controllers), as well as waypoint-based policies (vision-based pick and place, trajectory-based control), demonstrated across multiple real robot platforms. Central to our approach is prompting hierarchical code-gen (recursively defining undefin",check,enabler,,,,,,,,,,,,
Objaverse: A Universe of Annotated 3D Objects,2023,CVPR 2023,Matt Deitke; Dustin Schwenk; Jordi Salvador; Luca Weihs et al.,10,10.1109/cvpr52729.2023.01263,,653,conference-paper,True,https://openreview.net/forum?id=9XVeGccJ1q,openalex|openreview,recall,object navigation,"Massive data corpora like WebText, Wikipedia, Conceptual Captions, WebImageText, and LAION have propelled recent dramatic progress in AI. Large neural models trained on such datasets produce impressive results and top many of today's benchmarks. A notable omisslion within this family of large-scale datasets is 3D data. Despite considerable interest and potential applications in 3D vision, datasets of high-fidelity 3D models continue to be mid-sized with limited diversity of object categories. Addressing this gap, we present Objaverse 1.0, a large dataset of objects with 800K + (and growing) 3D models with descriptive captions, tags, and animations. Objaverse improves upon present day 3D repositories in terms of scale, number of categories, and in the visual diversity of instances within a category. We demonstrate the large potential of Objaverse via four diverse applications: training generative 3D models, improving tail category segmentation on the LVIS benchmark, training open-vocabulary object-navigation models for Embodied AI, and creating a new benchmark for robustness analysis of vision models. Objaverse can open new directions for research and enable new applications across the field of AI.",exclude,EC4,,candidate,,,,,,,,,,
FAST: Efficient Action Tokenization for Vision-Language-Action Models,2025,Robotics,Karl Pertsch; Kyle Stachowicz; Brian Ichter; Danny Driess et al.,9,10.48550/arXiv.2501.09747,2501.09747,628,JournalArticle,True,https://www.semanticscholar.org/paper/3880f5bad862ba1b18f4f8ec060038b326b118ed,crossref|dblp|openalex|s2,recall,vision-language-action model,"Autoregressive sequence models, such as Transformer-based vision-language action (VLA) policies, can be tremendously effective for capturing complex and generalizable robotic behaviors. However, such models require us to choose a tokenization of our continuous action signals, which determines how the discrete symbols predicted by the model map to continuous robot actions. We find that current approaches for robot action tokenization, based on simple per-dimension, per-timestep binning schemes, typically perform poorly when learning dexterous skills from high-frequency robot data. To address this challenge, we propose a new compression-based tokenization scheme for robot actions, based on the discrete cosine transform. Our tokenization approach, Frequency-space Action Sequence Tokenization (FAST), enables us to train autoregressive VLAs for highly dexterous and high-frequency tasks where standard discretization methods fail completely. Based on FAST, we release FAST+, a universal robot action tokenizer, trained on 1M real robot action trajectories. It can be used as a black-box tokenizer for a wide range of robot action sequences, with diverse action spaces and control frequencies. Finally, we show that, when combined with the pi0 VLA, our method can scale to training on 10k hours of robot data and match the performance of diffusion VLAs, while reducing training time by up to 5x.",exclude,EC3,,,,,,,,,,,,
ConceptGraphs: Open-Vocabulary 3D Scene Graphs for Perception and Planning,2024,2024 IEEE International Conference on Robotics and Automation (ICRA),Qiao Gu; Ali Kuwajerwala; Sacha Morin; Krishna Murthy Jatavallabhula et al.,16,10.1109/icra57147.2024.10610243,2309.16650,560,proceedings-article,True,https://doi.org/10.1109/icra57147.2024.10610243,arxiv|crossref|dblp|openalex|s2,enabler,open-vocabulary 3d scene graph,"For robots to perform a wide variety of tasks, they require a 3D representation of the world that is semantically rich, yet compact and efficient for task-driven perception and planning. Recent approaches have attempted to leverage features from large vision-language models to encode semantics in 3D representations. However, these approaches tend to produce maps with per-point feature vectors, which do not scale well in larger environments, nor do they contain semantic spatial relationships between entities in the environment, which are useful for downstream planning. In this work, we propose ConceptGraphs, an open-vocabulary graph-structured representation for 3D scenes. ConceptGraphs is built by leveraging 2D foundation models and fusing their output to 3D by multi-view association. The resulting representations generalize to novel semantic classes, without the need to collect large 3D datasets or finetune models. We demonstrate the utility of this representation through a number of downstream planning tasks that are specified through abstract (language) prompts and require complex reasoning over spatial and semantic concepts. To explore the full scope of our experiments and results, we encourage readers to visit our project webpage.",check,enabler,,candidate,,,,,,,,,,
CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,2025,Computer Vision and Pattern Recognition,Qingqing Zhao; Yao Lu; Moo Jin Kim; Zipeng Fu et al.,15,10.1109/CVPR52734.2025.00166,2503.22020,546,"JournalArticle,Conference",True,https://www.semanticscholar.org/paper/2d7f3a99e916fc80ff890d109699f9682253e66d,openalex|s2,recall,vision-language-action model,"Vision-language-action models (VLAs) have shown potential in leveraging pretrained vision-language models and diverse robot demonstrations for learning generalizable sensorimotor control. While this paradigm effectively utilizes large-scale data from both robotic and non-robotic sources, current VLAs primarily focus on direct input–output mappings, lacking the intermediate reasoning steps crucial for complex manipulation tasks. As a result, existing VLAs lack temporal planning or reasoning capabilities. In this paper, we introduce a method that incorporates explicit visual chain-of-thought (CoT) reasoning into vision-language-action models (VLAs) by predicting future image frames autoregressively as visual goals before generating a short action sequence to achieve these goals. We introduce CoT-VLA, a state-of-the-art 7B VLA that can understand and generate visual and action tokens. Our experimental results demonstrate that CoT-VLA achieves strong performance, outperforming the state-of-the-art VLA model by 17% in real-world manipulation tasks and 6% in simulation benchmarks. Videos are available at: https://cot-vla.github.io/.",exclude,EC3,,,,,,,,,,,,
SmolVLA: A Vision-Language-Action Model for Affordable and Efficient Robotics,2025,arXiv.org,Mustafa Shukor; Dana Aubakirova; Francesco Capuano; Pepijn Kooijmans et al.,14,10.48550/arXiv.2506.01844,2506.01844,493,JournalArticle,True,https://www.semanticscholar.org/paper/6ab4d113676d00e74b55e918fee4c7affaa8652f,openalex|s2,recall,vision-language-action model,"Vision-language models (VLMs) pretrained on large-scale multimodal datasets encode rich visual and linguistic knowledge, making them a strong foundation for robotics. Rather than training robotic policies from scratch, recent approaches adapt VLMs into vision-language-action (VLA) models that enable natural language-driven perception and control. However, existing VLAs are typically massive--often with billions of parameters--leading to high training costs and limited real-world deployability. Moreover, they rely on academic and industrial datasets, overlooking the growing availability of community-collected data from affordable robotic platforms. In this work, we present SmolVLA, a small, efficient, and community-driven VLA that drastically reduces both training and inference costs, while retaining competitive performance. SmolVLA is designed to be trained on a single GPU and deployed on consumer-grade GPUs or even CPUs. To further improve responsiveness, we introduce an asynchronous inference stack decoupling perception and action prediction from action execution, allowing higher control rates with chunked action generation. Despite its compact size, SmolVLA achieves performance comparable to VLAs that are 10x larger. We evaluate SmolVLA on a range of both simulated as well as real-world robotic benchmarks and release all code, pretrained models, and training data.",exclude,EC4,,,,,,,,,,,,
NavGPT: Explicit Reasoning in Vision-and-Language Navigation with Large Language Models,2023,AAAI Conference on Artificial Intelligence,Gengze Zhou; Yicong Hong; Qi Wu,3,10.48550/arXiv.2305.16986,2305.16986,448,"JournalArticle,Conference",True,https://www.semanticscholar.org/paper/8199c9d55dd998f69f703e0ad250ca0697e3ad27,arxiv|crossref|dblp|openalex|openreview|s2,core,instruction following navigation|instruction-following navigation|vision-and-language navigation,"Trained with an unprecedented scale of data, large language models (LLMs) like ChatGPT and GPT-4 exhibit the emergence of significant reasoning abilities from model scaling. Such a trend underscored the potential of training LLMs with unlimited language data, advancing the development of a universal embodied agent. In this work, we introduce the NavGPT, a purely LLM-based instruction-following navigation agent, to reveal the reasoning capability of GPT models in complex embodied scenes by performing zero-shot sequential action prediction for vision-and-language navigation (VLN). At each step, NavGPT takes the textual descriptions of visual observations, navigation history, and future explorable directions as inputs to reason the agent's current status, and makes the decision to approach the target. Through comprehensive experiments, we demonstrate NavGPT can explicitly perform high-level planning for navigation, including decomposing instruction into sub-goals, integrating commonsense knowledge relevant to navigation task resolution, identifying landmarks from observed scenes, tracking navigation progress, and adapting to exceptions with plan adjustment. Furthermore, we show that LLMs is capable of generating high-quality navigational instructions from observations and actions along a path, as well as drawing accurate top-down metric trajectory given the agent's navigation history. Despite the performance of using NavGPT to zero-shot R2R tasks still falling short of trained m",include,,,candidate,R2R,,,,,,,,,
Language to Rewards for Robotic Skill Synthesis,2023,CoRL 2023,Wenhao Yu; Nimrod Gileadi; Chuyuan Fu; Sean Kirmani et al.,20,10.48550/arXiv.2306.08647,2306.08647,438,conference-paper,True,https://openreview.net/forum?id=sy5k1Wn51P,arxiv|openalex|openreview|s2,enabler,(s2 bulk)|code as policies|queryable scene representation,"Large language models (LLMs) have demonstrated exciting progress in acquiring diverse new capabilities through in-context learning, ranging from logical reasoning to code-writing. Robotics researchers have also explored using LLMs to advance the capabilities of robotic control. However, since low-level robot actions are hardware-dependent and underrepresented in LLM training corpora, existing efforts in applying LLMs to robotics have largely treated LLMs as semantic planners or relied on human-engineered control primitives to interface with the robot. On the other hand, reward functions are shown to be flexible representations that can be optimized for control policies to achieve diverse tasks, while their semantic richness makes them suitable to be specified by LLMs. In this work, we introduce a new paradigm that harnesses this realization by utilizing LLMs to define reward parameters that can be optimized and accomplish variety of robotic tasks. Using reward as the intermediate interface generated by LLMs, we can effectively bridge the gap between high-level language instructions or corrections to low-level robot actions. Meanwhile, combining this with a real-time optimizer, MuJoCo MPC, empowers an interactive behavior creation experience where users can immediately observe the results and provide feedback to the system. To systematically evaluate the performance of our proposed method, we designed a total of 17 tasks for a simulated quadruped robot and a dexterous manipula",exclude,EC3,,candidate,,,,,,,,,,
CogACT: A Foundational Vision-Language-Action Model for Synergizing Cognition and Action in Robotic Manipulation,2024,arXiv.org,Qixiu Li; Yaobo Liang; Zeyu Wang; Lin Luo et al.,18,10.48550/arXiv.2411.19650,2411.19650,431,JournalArticle,True,https://www.semanticscholar.org/paper/54caf5927a6d656bb84d2a16e16fa2b0c5d6f522,openalex|openreview|s2,recall,vision-language-action model,"The advancement of large Vision-Language-Action (VLA) models has significantly improved robotic manipulation in terms of language-guided task execution and generalization to unseen scenarios. While existing VLAs adapted from pretrained large Vision-Language-Models (VLM) have demonstrated promising generalizability, their task performance is still unsatisfactory as indicated by the low tasks success rates in different environments. In this paper, we present a new advanced VLA architecture derived from VLM. Unlike previous works that directly repurpose VLM for action prediction by simple action quantization, we propose a omponentized VLA architecture that has a specialized action module conditioned on VLM output. We systematically study the design of the action module and demonstrates the strong performance enhancement with diffusion action transformers for action sequence modeling, as well as their favorable scaling behaviors. We also conduct comprehensive experiments and ablation studies to evaluate the efficacy of our models with varied designs. The evaluation on 5 robot embodiments in simulation and real work shows that our model not only significantly surpasses existing VLAs in task performance and but also exhibits remarkable adaptation to new robots and generalization to unseen objects and backgrounds. It exceeds the average success rates of OpenVLA which has similar model size (7B) with ours by over 35% in simulated evaluation and 55% in real robot experiments. It also ",exclude,EC3,,,,,,,,,,,,
"TinyVLA: Toward Fast, Data-Efficient Vision-Language-Action Models for Robotic Manipulation",2024,IEEE Robotics and Automation Letters,Junjie Wen; Yichen Zhu; Jinming Li; Minjie Zhu et al.,13,10.1109/LRA.2025.3544909,2409.12514,424,JournalArticle,True,https://www.semanticscholar.org/paper/dc62bc6536e9e3ad80242f10f44c046e4c7bd3d1,openalex|s2,recall,vision-language-action model,"Vision-Language-Action (VLA) models have shown remarkable potential in visuomotor control and instruction comprehension through end-to-end learning processes. However, current VLA models face significant challenges: they are slow during inference and require extensive pre-training on large amounts of robotic data, making real-world deployment difficult. In this letter, we introduce a new family of compact vision-language-action models, called TinyVLA, which offers two key advantages over existing VLA models: (1) faster inference speeds, and (2) improved data efficiency, eliminating the need for pre-training stage. Our framework incorporates two essential components to build TinyVLA: (1) initializing the policy backbone with robust, high-speed multimodal models, and (2) integrating a diffusion policy decoder during fine-tuning to enable precise robot actions. We conducted extensive evaluations of TinyVLA in both simulation and on real robots, demonstrating that our approach significantly outperforms the state-of-the-art VLA model, OpenVLA, in terms of speed and data efficiency, while delivering comparable or superior performance. Additionally, TinyVLA exhibits strong generalization capabilities across various dimensions, including language instructions, novel objects, unseen positions, changes in object appearance, background variations, and environmental shifts, often matching or exceeding the performance of OpenVLA. We believe that TinyVLA offers an interesting perspective o",exclude,EC3,,,,,,,,,,,,
ConceptFusion: Open-set Multimodal 3D Mapping,2023,Robotics: Science and Systems Conference,Krishna Murthy Jatavallabhula; Alihusein Kuwajerwala; Qiao Gu; Mohd Omama et al.,17,10.48550/arXiv.2302.07241,2302.07241,424,JournalArticle,True,https://www.semanticscholar.org/paper/5e2bceb56f116e98baf7e418208057bc0e1c1861,arxiv|crossref|dblp|openalex|openreview|s2,enabler,multimodal 3d mapping,"Building 3D maps of the environment is central to robot navigation, planning, and interaction with objects in a scene. Most existing approaches that integrate semantic concepts with 3D maps largely remain confined to the closed-set setting: they can only reason about a finite set of concepts, pre-defined at training time. Further, these maps can only be queried using class labels, or in recent work, using text prompts. We address both these issues with ConceptFusion, a scene representation that is (1) fundamentally open-set, enabling reasoning beyond a closed set of concepts and (ii) inherently multimodal, enabling a diverse range of possible queries to the 3D map, from language, to images, to audio, to 3D geometry, all working in concert. ConceptFusion leverages the open-set capabilities of today's foundation models pre-trained on internet-scale data to reason about concepts across modalities such as natural language, images, and audio. We demonstrate that pixel-aligned open-set features can be fused into 3D maps via traditional SLAM and multi-view fusion approaches. This enables effective zero-shot spatial reasoning, not needing any additional training or finetuning, and retains long-tailed concepts better than supervised approaches, outperforming them by more than 40% margin on 3D IoU. We extensively evaluate ConceptFusion on a number of real-world datasets, simulated home environments, a real-world tabletop manipulation task, and an autonomous driving platform. We showcas",check,enabler,,candidate,,,,,,,,,,
VLFM: Vision-Language Frontier Maps for Zero-Shot Semantic Navigation,2024,2024 IEEE International Conference on Robotics and Automation (ICRA),Naoki Yokoyama; Sehoon Ha; Dhruv Batra; Jiuguang Wang et al.,5,10.1109/icra57147.2024.10610712,2312.03275,393,proceedings-article,True,https://doi.org/10.1109/icra57147.2024.10610712,arxiv|crossref|openalex|openreview|s2,recall|zeroshot,object goal navigation|semantic navigation|zero-shot navigation,"Understanding how humans leverage semantic knowledge to navigate unfamiliar environments and decide where to explore next is pivotal for developing robots capable of human-like search behaviors. We introduce a zero-shot navigation approach, Vision-Language Frontier Maps (VLFM), which is inspired by human reasoning and designed to navigate towards unseen semantic objects in novel environments. VLFM builds occupancy maps from depth observations to identify frontiers, and leverages RGB observations and a pre-trained vision-language model to generate a language-grounded value map. VLFM then uses this map to identify the most promising frontier to explore for finding an instance of a given target object category. We evaluate VLFM in photo-realistic environments from the Gibson, Habitat-Matterport 3D (HM3D), and Matterport 3D (MP3D) datasets within the Habitat simulator. Remarkably, VLFM achieves state-of-the-art results on all three datasets as measured by success weighted by path length (SPL) for the Object Goal Navigation task. Furthermore, we show that VLFM’s zero-shot nature enables it to be readily deployed on real-world robots such as the Boston Dynamics Spot mobile manipulation platform. We deploy VLFM on Spot and demonstrate its capability to efficiently navigate to target objects within an office building in the real world, without any prior knowledge of the environment. The accomplishments of VLFM underscore the promising potential of vision-language models in advancing ",include,,,candidate,ObjectNav,,,,,,,,,
Robotic Control via Embodied Chain-of-Thought Reasoning,2024,Conference on Robot Learning,Michał Zawalski; William Chen; Karl Pertsch; Oier Mees et al.,6,10.48550/arXiv.2407.08693,2407.08693,385,JournalArticle,True,https://www.semanticscholar.org/paper/56b545002ebb897de167a2de1603f06ab8f6bb0a,openalex|s2,recall,vision-language-action model,"A key limitation of learned robot control policies is their inability to generalize outside their training data. Recent works on vision-language-action models (VLAs) have shown that the use of large, internet pre-trained vision-language models as the backbone of learned robot policies can substantially improve their robustness and generalization ability. Yet, one of the most exciting capabilities of large vision-language models in other domains is their ability to reason iteratively through complex problems. Can that same capability be brought into robotics to allow policies to improve performance by reasoning about a given task before acting? Naive use of""chain-of-thought""(CoT) style prompting is significantly less effective with standard VLAs because of the relatively simple training examples that are available to them. Additionally, purely semantic reasoning about sub-tasks, as is common in regular CoT, is insufficient for robot policies that need to ground their reasoning in sensory observations and the robot state. To this end, we introduce Embodied Chain-of-Thought Reasoning (ECoT) for VLAs, in which we train VLAs to perform multiple steps of reasoning about plans, sub-tasks, motions, and visually grounded features like object bounding boxes and end effector positions, before predicting the robot action. We design a scalable pipeline for generating synthetic training data for ECoT on large robot datasets. We demonstrate, that ECoT increases the absolute success rate of ",exclude,EC3,,,,,,,,,,,,
